"Country/Region","WHORegion","SumofConfirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"Congo (Brazzaville)","Africa","3200","2317","1.69","25.91",""
"Somalia","Eastern Mediterranean","3196","1560","2.91","48.28",""
"Equatorial Guinea","Africa","3071","2178","1.66","27.42",""
"Montenegro","Europe","2893","2039","1.56","27.96",""
"Libya","Eastern Mediterranean","2827","2186","2.26","20.41",""
"Sri Lanka","South-East Asia","2805","673","0.39","75.61","21413249"
"Zimbabwe","Africa","2704","2126","1.33","20.04",""
"Cuba","Americas","2532","94","3.44","92.85",""
"Mali","Africa","2513","476","4.93","76.12",""
"Cabo Verde","Africa","2328","756","0.95","66.58",""
"Eswatini","Africa","2316","1257","1.47","44.26",""
"South Sudan","Africa","2305","1084","2","50.98",""
"Slovakia","Europe","2181","537","1.28","74.09",""
"Slovenia","Europe","2087","238","5.56","83.04",""
"Estonia","Europe","2034","42","3.39","94.54",""
"Lithuania","Europe","2019","319","3.96","80.24",""
"Guinea-Bissau","Africa","1954","1125","1.33","41.1",""
"Rwanda","Africa","1879","899","0.27","51.89",""
"Iceland","Europe","1854","21","0.54","98.33",""
"Namibia","Africa","1843","1734","0.43","5.48",""
"Sierra Leone","Africa","1783","400","3.7","73.86",""
"Benin","Africa","1770","699","1.98","58.53",""
"Mozambique","Africa","1701","1690","0.65","0",""
"Yemen","Eastern Mediterranean","1691","375","28.56","49.26",""
"New Zealand","Western Pacific","1557","21","1.41","97.24","4822233"
"Suriname","Americas","1483","534","1.62","62.37",""
"Tunisia","Eastern Mediterranean","1455","248","3.44","79.52",""
"Latvia","Europe","1219","143","2.54","85.73",""
"Uruguay","Americas","1202","216","2.91","79.12",""
"Jordan","Eastern Mediterranean","1176","124","0.94","88.52",""
"Liberia","Africa","1167","449","6.17","55.36",""
"Georgia","Europe","1137","199","1.41","81.09",""
"Niger","Africa","1132","36","6.1","90.72",""
"Uganda","Africa","1128","140","0.18","87.41",""
"Burkina Faso","Africa","1100","121","4.82","84.18",""
"Cyprus","Europe","1060","189","1.79","80.38",""
"Angola","Africa","950","667","4.32","25.47",""
"Chad","Africa","922","37","8.13","87.85",""
"Andorra","Europe","907","52","5.73","88.53",""
"Togo","Africa","874","249","2.06","69.45",""
"Sao Tome and Principe","Africa","865","117","1.62","84.86",""
"Jamaica","Americas","853","129","1.17","83.7",""
"Botswana","Africa","739","674","0.27","8.53",""
