Country/Region,Province/State,Lat,Long,Max of Confirmed,Max of Deaths,Max of Recovered
,St Martin,18.0708,-63.0501,49,3,41
,(blank),46.2276,2.2137,208665,30096,72408
Gabon,(blank),-0.8037,11.6094,7189,49,4682
Gambia,(blank),13.4432,-15.3101,326,8,66
Georgia,(blank),42.3154,43.3569,1137,16,922
Germany,(blank),51.165691,10.451526,207112,9125,190314
Ghana,(blank),7.9465,-1.0232,33624,168,29801
Greece,(blank),39.0742,21.8243,4227,202,1374
Greenland,Greenland,71.7069,-42.6043,14,0,13
Grenada,(blank),12.1165,-61.679,23,0,23
Guatemala,(blank),15.7835,-90.2308,45309,1761,32455
Guinea,(blank),9.9456,-9.6966,7055,45,6257
Guinea-Bissau,(blank),11.8037,-15.1804,1954,26,803
Guyana,(blank),4.860416,-58.93018,389,20,181
Haiti,(blank),18.9712,-72.2852,7340,158,4365
Holy See,(blank),41.9029,12.4534,12,0,12
Honduras,(blank),15.2,-86.2419,39741,1166,5039
Hungary,(blank),47.1625,19.5033,4448,596,3329
Iceland,(blank),64.9631,-19.0208,1854,10,1823
India,(blank),20.593684,78.96288,1480073,33408,951166
Indonesia,(blank),-0.7893,113.9213,100303,4838,58173
Iran,(blank),32.427908,53.688046,293606,15912,255144
Iraq,(blank),33.223191,43.679291,112585,4458,77144
Ireland,(blank),53.1424,-7.6921,25892,1764,23364
Israel,(blank),31.046051,34.851612,63985,474,27133
Italy,(blank),41.87194,12.56738,246286,35112,198593
Jamaica,(blank),18.1096,-77.2975,853,10,714
Japan,(blank),36.204824,138.252924,31142,998,21970
Jordan,(blank),31.24,36.51,1223,11,1041
Kazakhstan,(blank),48.0196,66.9237,84648,585,54404
Kenya,(blank),-0.0236,37.9062,17975,285,7833
Kosovo,(blank),42.602636,20.902977,7413,185,4027
Kuwait,(blank),29.31166,47.481766,64379,438,55057
Kyrgyzstan,(blank),41.20438,74.766098,33296,1301,21205
Laos,(blank),19.85627,102.495496,20,0,19
Latvia,(blank),56.8796,24.6032,1219,31,1045
Lebanon,(blank),33.8547,35.8623,3882,51,1709
Lesotho,(blank),-29.61,28.2336,505,12,128
Liberia,(blank),6.428055,-9.429499,1167,72,646
Libya,(blank),26.3351,17.228331,2827,64,577
Liechtenstein,(blank),47.14,9.55,86,2,83
Lithuania,(blank),55.1694,23.8813,2019,80,1620
Luxembourg,(blank),49.8153,6.1296,6321,112,4825
Madagascar,(blank),-18.766947,46.869107,9690,91,6260
Malawi,(blank),-13.2543,34.3015,3664,99,1645
Malaysia,(blank),4.210484,101.975766,8904,124,8601
Maldives,(blank),3.2028,73.2207,3369,15,2547
Mali,(blank),17.570692,-3.996166,2513,124,1913
Malta,(blank),35.9375,14.3754,701,9,665
Mauritania,(blank),21.0079,-10.9408,6208,156,4653
Mauritius,(blank),-20.348404,57.552152,344,10,332
Mexico,(blank),23.6345,-102.5528,395489,44022,303810
Moldova,(blank),47.4116,28.3699,23154,748,16154
Monaco,(blank),43.7333,7.4167,116,4,104
Mongolia,(blank),46.8625,103.8467,289,0,222
Montenegro,(blank),42.708678,19.37439,2893,45,809
Morocco,(blank),31.7917,-7.0926,20887,316,16553
Mozambique,(blank),-18.665695,35.529562,1701,11,0
Namibia,(blank),-22.9576,18.4904,1843,8,101
Nepal,(blank),28.1667,84.25,18752,48,13754
Netherlands,Aruba,12.5211,-69.9683,119,3,102
,Curacao,12.1696,-68.99,29,1,24
,Sint Maarten,18.0425,-63.0548,114,15,63
,(blank),52.1326,5.2913,53151,6141,0
New Zealand,(blank),-40.9006,174.886,1557,22,1514
Nicaragua,(blank),12.865416,-85.207229,3439,108,2492
Niger,(blank),17.607789,8.081666,1136,69,1027
Nigeria,(blank),9.082,8.6753,41180,860,18203
North Macedonia,(blank),41.6086,21.7453,10213,466,5564
Norway,(blank),60.472,8.4689,9132,255,8752
Oman,(blank),21.512583,55.923255,77058,393,57028
Pakistan,(blank),30.3753,69.3451,274289,5842,241026
Panama,(blank),8.538,-80.7821,61442,1322,35086
Papua New Guinea,(blank),-6.314993,143.95555,62,1,11
Paraguay,(blank),-23.4425,-58.4438,4548,43,2905
Peru,(blank),-9.19,-75.0152,389717,18418,272547
Philippines,(blank),12.879721,121.774017,82040,1945,26446
Poland,(blank),51.9194,19.1451,43402,1676,32856
Portugal,(blank),39.3999,-8.2245,50299,1719,35375
Qatar,(blank),25.3548,51.1839,109597,165,106328
Romania,(blank),45.9432,24.9668,45902,2206,25794
Russia,(blank),61.52401,105.318756,816680,13334,602249
Rwanda,(blank),-1.9403,29.8739,1879,5,975
Saint Kitts and Nevis,(blank),17.357822,-62.782998,17,0,15
Saint Lucia,(blank),13.9094,-60.9789,24,0,22
Saint Vincent and the Grenadines,(blank),12.9843,-61.2872,52,0,39
San Marino,(blank),43.9424,12.4578,699,42,657
Sao Tome and Principe,(blank),0.1864,6.6131,865,14,734
Saudi Arabia,(blank),23.885942,45.079162,268934,2760,222936
Senegal,(blank),14.4974,-14.4524,9764,194,6477
Serbia,(blank),44.0165,21.0059,24141,543,15564
Seychelles,(blank),-4.6796,55.492,114,0,39
Sierra Leone,(blank),8.460555,-11.779889,1783,66,1317
Singapore,(blank),1.2833,103.8333,50838,27,45692
Slovakia,(blank),48.669,19.699,2181,28,1616
Slovenia,(blank),46.1512,14.9955,2087,116,1733
Somalia,(blank),5.152149,46.199616,3196,93,1543
South Africa,(blank),-30.5595,22.9375,452529,7067,274925
South Korea,(blank),35.907757,127.766922,14203,300,13007
South Sudan,(blank),6.877,31.307,2305,46,1175
Spain,(blank),40.463667,-3.74922,272421,28752,150376
Sri Lanka,(blank),7.873054,80.771797,2805,11,2121
Sudan,(blank),12.8628,30.2176,11424,720,5939
Suriname,(blank),3.9193,-56.0278,1483,24,925
Sweden,(blank),60.128161,18.643501,79395,5700,0
Switzerland,(blank),46.8182,8.2275,34477,1978,30900
Syria,(blank),34.802075,38.996815,674,40,0
Taiwan*,(blank),23.7,121,462,7,440
Tajikistan,(blank),38.861,71.2761,7235,60,6028
Tanzania,(blank),-6.369028,34.888822,509,21,183
Thailand,(blank),15.870032,100.992541,3297,58,3111
Timor-Leste,(blank),-8.874217,125.727539,24,0,0
Togo,(blank),8.6195,0.8248,874,18,607
Trinidad and Tobago,(blank),10.6918,-61.2225,148,8,128
Tunisia,(blank),33.886917,9.537499,1455,50,1157
Turkey,(blank),38.9637,35.2433,227019,5630,210469
Uganda,(blank),1.373333,32.290275,1128,2,1071
Ukraine,(blank),48.3794,31.1656,67096,1636,37202
United Arab Emirates,(blank),23.424076,53.847818,59177,345,52510
United Kingdom,Anguilla,18.2206,-63.0686,3,0,3
,Bermuda,32.3078,-64.7505,154,9,141
,British Virgin Islands,18.4207,-64.64,8,1,7
,Cayman Islands,19.3133,-81.2546,203,1,202
,Channel Islands,49.3723,-2.3644,584,48,533
,Falkland Islands (Malvinas),-51.7963,-59.5236,13,0,13
,Gibraltar,36.1408,-5.3536,185,0,180
,Isle of Man,54.2361,-4.5481,336,24,312
,Montserrat,16.742498,-62.187366,12,1,10
,Turks and Caicos Islands,21.694,-71.7979,99,2,36
,(blank),55.3781,-3.436,300111,45759,344
Uruguay,(blank),-32.5228,-55.7658,1202,35,951
US,(blank),40,-100,4290259,148011,1325804
Uzbekistan,(blank),41.377491,64.585262,21209,121,11674
Venezuela,(blank),6.4238,-66.5897,15988,146,9959
Vietnam,(blank),14.058324,108.277199,431,0,365
West Bank and Gaza,(blank),31.9522,35.2332,10621,78,3752
Western Sahara,(blank),24.2155,-12.8858,10,1,8
Yemen,(blank),15.552727,48.516388,1691,483,833
Zambia,(blank),-13.133897,27.849332,4552,140,2815
Zimbabwe,(blank),-19.015438,29.154857,2704,36,542
