"Country/Region","WHORegion","Sum_of_Confirmed","Sum_of_Active","Sum_of_Deaths/100Cases","Sum_of_Recovered/100Cases","Population"
"Congo (Brazzaville)","Africa","3,200","2317","2","25.91",""
"Somalia","Eastern Mediterranean","3,196","1560","3","48.28",""
"Equatorial Guinea","Africa","3,071","2178","2","27.42",""
"Montenegro","Europe","2,893","2039","2","27.96",""
"Libya","Eastern Mediterranean","2,827","2186","2","20.41",""
"Sri Lanka","South-East Asia","2,805","673","0","75.61","21,413,249"
"Zimbabwe","Africa","2,704","2126","1","20.04",""
"Cuba","Americas","2,532","94","3","92.85",""
"Mali","Africa","2,513","476","5","76.12",""
"Cabo Verde","Africa","2,328","756","1","66.58",""
"Eswatini","Africa","2,316","1257","1","44.26",""
"South Sudan","Africa","2,305","1084","2","50.98",""
"Slovakia","Europe","2,181","537","1","74.09",""
"Slovenia","Europe","2,087","238","6","83.04",""
"Estonia","Europe","2,034","42","3","94.54",""
"Lithuania","Europe","2,019","319","4","80.24",""
"Guinea-Bissau","Africa","1,954","1125","1","41.10",""
"Rwanda","Africa","1,879","899","0","51.89",""
"Iceland","Europe","1,854","21","1","98.33",""
"Namibia","Africa","1,843","1734","0","5.48",""
"Sierra Leone","Africa","1,783","400","4","73.86",""
"Benin","Africa","1,770","699","2","58.53",""
"Mozambique","Africa","1,701","1690","1","0.00",""
"Yemen","Eastern Mediterranean","1,691","375","29","49.26",""
"New Zealand","Western Pacific","1,557","21","1","97.24","4,822,233"
"Suriname","Americas","1,483","534","2","62.37",""
"Tunisia","Eastern Mediterranean","1,455","248","3","79.52",""
"Latvia","Europe","1,219","143","3","85.73",""
"Uruguay","Americas","1,202","216","3","79.12",""
"Jordan","Eastern Mediterranean","1,176","124","1","88.52",""
"Liberia","Africa","1,167","449","6","55.36",""
"Georgia","Europe","1,137","199","1","81.09",""
"Niger","Africa","1,132","36","6","90.72",""
"Uganda","Africa","1,128","140","0","87.41",""
"Burkina Faso","Africa","1,100","121","5","84.18",""
"Cyprus","Europe","1,060","189","2","80.38",""
"Angola","Africa","950","667","4","25.47",""
"Chad","Africa","922","37","8","87.85",""
"Andorra","Europe","907","52","6","88.53",""
"Togo","Africa","874","249","2","69.45",""
"Sao Tome and Principe","Africa","865","117","2","84.86",""
"Jamaica","Americas","853","129","1","83.70",""
