"Country/Region","Sum of Confirmed","Sum of Active","Sum of Deaths/100 Cases","Sum of Recovered/100 Cases"
"Slovakia","2181","537","1.28","74.09"
"Slovenia","2087","238","5.56","83.04"
"Somalia","3196","1560","2.91","48.28"
"South Africa","452529","170537","1.56","60.75"
"South Korea","14203","896","2.11","91.58"
"South Sudan","2305","1084","2","50.98"
"Spain","272421","93613","10.44","55.2"
"Sri Lanka","2805","673","0.39","75.61"
"Sudan","11424","4765","6.3","51.99"
"Suriname","1483","534","1.62","62.37"
"Sweden","79395","73695","7.18","0"
"Switzerland","34477","1599","5.74","89.62"
"Syria","674","634","5.93","0"
"Taiwan*","462","15","1.52","95.24"
"Tajikistan","7235","1147","0.83","83.32"
"Tanzania","509","305","4.13","35.95"
"Thailand","3297","128","1.76","94.36"
"Timor-Leste","24","24","0","0"
"Togo","874","249","2.06","69.45"
"Trinidad and Tobago","148","12","5.41","86.49"
"Tunisia","1455","248","3.44","79.52"
"Turkey","227019","10920","2.48","92.71"
"Uganda","1128","140","0.18","87.41"
"Ukraine","67096","28258","2.44","55.45"
"United Arab Emirates","59177","6322","0.58","88.73"
"United Kingdom","301708","254427","15.19","0.48"
"Uruguay","1202","216","2.91","79.12"
"US","4290259","2816444","3.45","30.9"
"Uzbekistan","21209","9414","0.57","55.04"
"Venezuela","15988","5883","0.91","62.29"
"Vietnam","431","66","0","84.69"
"West Bank and Gaza","10621","6791","0.73","35.33"
"Western Sahara","10","1","10","80"
"Yemen","1691","375","28.56","49.26"
"Zambia","4552","1597","3.08","61.84"
"Zimbabwe","2704","2126","1.33","20.04"
