Country/Region,WHORegion,Confirmed,Deaths,Recovered,Active
Malta,Europe,67483,765,53260,13458
,,,,,
Mauritania,Africa,219095,6720,94938,117437
,,,,,
Mauritius,Africa,39448,1161,32602,5685
,,,,,
Mexico,Americas,14946202,1728277,11141225,2076700
,,,,,
Moldova,Europe,1156957,38196,652369,466392
,,,,,
Monaco,Europe,11993,425,8707,2861
,,,,,
Mongolia,Western Pacific,16999,0,9902,7097
,,,,,
Montenegro,Europe,72422,1379,31486,39557
,,,,,
Morocco,Eastern Mediterranean,1002746,23170,703960,275616
,,,,,
Mozambique,Africa,58006,361,0,57645
,,,,,
Namibia,Africa,28836,72,2152,26612
,,,,,
Nepal,South-East Asia,682623,1660,308056,372907
,,,,,
Netherlands,Europe,5167516,622314,16967,4528235
,,,,,
New Zealand,Western Pacific,175979,2181,149560,24238
,,,,,
Nicaragua,Americas,137545,4867,86849,45829
,,,,,
Niger,Africa,102223,5948,79067,17208
,,,,,
Nigeria,Africa,1634040,39416,600928,993696
,,,,,
North Macedonia,Europe,440483,21235,214483,204765
,,,,,
Norway,Europe,1008821,25664,544430,438727
,,,,,
Oman,Eastern Mediterranean,2559773,11804,1439269,1108700
,,,,,
Pakistan,Eastern Mediterranean,12833994,264729,6936003,5633262
,,,,,
Panama,Americas,2378126,51756,1213644,1112726
,,,,,
Papua New Guinea,Western Pacific,1185,2,695,488
,,,,,
Paraguay,Americas,156373,1663,75800,78910
,,,,,
Peru,Americas,19263916,652113,10862846,7748957
,,,,,
Philippines,Western Pacific,2972611,110892,785042,2076677
,,,,,
Poland,Europe,2755525,118018,1465856,1171651
,,,,,
Portugal,Europe,3855363,146603,1809966,1898794
,,,,,
Qatar,Eastern Mediterranean,6377607,7123,4676443,1694041
,,,,,
Romania,Europe,2363132,140031,1409409,813692
,,2363132,140031,1409409,813692
Russia,Europe,45408411,619385,25120448,19668578
,,,,,
Rwanda,Africa,71242,169,36974,34099
,,,,,
Saint Kitts and Nevis,Americas,1772,0,1295,477
,,,,,
Saint Lucia,Americas,2236,0,1860,376
,,,,,
Saint Vincent and the Grenadines,Americas,2771,0,1995,776
,,,,,
San Marino,Europe,74949,5086,41810,28053
,,,,,
Sao Tome and Principe,Africa,46884,950,15882,30052
,,,,,
Saudi Arabia,Eastern Mediterranean,12362961,105150,8474107,3783704
,,,,,
Senegal,Africa,467457,7177,286778,173502
,,,,,
Serbia,Europe,1376322,28876,735730,611716
,,,,,
Seychelles,Africa,3977,0,1247,2730
,,,,,
Sierra Leone,Africa,95846,4186,58390,33270
,,,,,
Singapore,Western Pacific,3502472,2441,2372884,1127147
,,,,,
Slovakia,Europe,176429,2692,121950,51787
,,,,,
Slovenia,Europe,186132,11326,109805,65001
,,,,,
Somalia,Eastern Mediterranean,206646,7006,59491,140149
,,,,,
South Africa,Africa,11168743,181979,5836423,5150341
,,,,,
South Korea,Western Pacific,1647537,33518,1246797,367222
,,,,,
South Sudan,Africa,118818,2006,23121,93691
,,,,,
Spain,Europe,27404045,3033030,15093583,9277432
,,,,,
Sri Lanka,South-East Asia,166865,1105,109389,56371
,,,,,
Sudan,Eastern Mediterranean,586392,35415,240835,310142
,,,,,
Suriname,Americas,32247,721,17436,14090
,,,,,
Sweden,Europe,4973160,448913,0,4524247
,,,,,
Switzerland,Europe,3696604,207858,2957883,530863
,,,,,
Syria,Eastern Mediterranean,20946,973,0,19973
,,,,,
Taiwan*,Western Pacific,55593,840,42184,12569
,,,,,
Tajikistan,Europe,383026,3915,264000,115111
,,,,,
Tanzania,Africa,49327,1985,16729,30613
,,,,,
Thailand,South-East Asia,366527,6289,312360,47878
,,,,,
Timor-Leste,South-East Asia,2487,0,0,2487
,,,,,
Togo,Africa,47390,1295,28330,17765
,,,,,
Trinidad and Tobago,Americas,14967,949,10531,3487
,,,,,
Tunisia,Eastern Mediterranean,126590,5250,85410,35930
,,,,,
Turkey,Europe,17903345,466056,13345389,4091900
,,,,,
Uganda,Africa,56688,6,39767,16915
,,,,,
Ukraine,Europe,3214085,85248,1387463,1741374
,,,,,
United Arab Emirates,Eastern Mediterranean,3658838,25387,2402874,1230577
,,,,,
United Kingdom,Europe,26748587,3997775,126217,22624595
,,,,,
Uruguay,Americas,94742,2456,72759,19527
,,,,,
US,Americas,224345948,11011411,56353416,156981121
,,,,,
Uzbekistan,Europe,678008,2938,423777,251293
,,,,,
Venezuela,Americas,412231,4101,151542,256588
,,,,,
Vietnam,Western Pacific,40675,0,32838,7837
,,,,,
West Bank and Gaza,Eastern Mediterranean,233461,1370,61124,170967
,,,,,
Western Sahara,Africa,901,63,648,190
,,,,,
Yemen,Eastern Mediterranean,67180,17707,23779,25694
,,,,,
Zambia,Africa,129421,2643,83611,43167
,,,,,
Zimbabwe,Africa,50794,881,12207,37706
